Date,DBC,GLD,HYG,IEF,LQD,QQQ,SPY,VGK,VT
29/03/2021,15.10131836,160.3099976,67.61559296,100.1799011,108.8024063,307.350647,371.7565918,54.30423737,88.61191559
30/03/2021,14.85847473,157.5700073,67.45232391,100.0913467,109.1389694,305.803772,370.7703857,54.35591507,88.59368134
31/03/2021,14.93942261,159.9600067,67.77884674,99.94974518,109.4250183,310.483429,372.2731934,54.26977539,88.76702118
01/04/2021,15.19126034,161.9799957,67.92237091,100.3925858,110.1112976,315.7760315,376.2933655,55.13981628,89.93489838
05/04/2021,14.96640396,161.9199982,67.9535675,100.1091766,109.5717392,322.0804443,381.6943665,56.08737564,90.96591187
06/04/2021,15.02037048,163.2200012,68.07061768,100.5962219,110.305191,321.8565979,381.4690552,55.57913208,90.77429962
07/04/2021,15.065341,162.7599945,68.04718781,100.534256,110.0859833,322.6349182,381.9104004,55.69973755,90.63743591
08/04/2021,15.14628983,164.5099945,68.07061768,100.8796539,110.4906616,326.0012512,383.7232056,56.08737564,91.21225739
09/04/2021,15.09232426,163.2700043,68.02378845,100.6139526,110.2630234,327.9762268,386.51297,56.15629959,91.54984283
12/04/2021,15.10131836,162.2799988,67.9535675,100.5519714,110.2377014,327.5482178,386.6538696,55.89786148,91.35823822
13/04/2021,15.26321411,163.4299927,68.00038147,100.9681854,110.7266998,331.3716736,387.7998657,56.24243164,91.70494843
14/04/2021,15.61398983,162.7200012,67.96920013,100.8442535,110.5749664,327.3925476,386.4753723,56.2682724,91.66845703
15/04/2021,15.71292496,165.3500061,68.24221039,101.4907074,111.2578278,332.354248,390.6271667,56.75929642,92.55348969
16/04/2021,15.6859436,166.3500061,68.10179901,101.2161942,110.4990997,332.7434387,391.9327393,57.43120575,92.90930939
19/04/2021,15.70393085,165.8899994,67.99258423,101.1099091,110.2124329,329.6982117,390.0071411,57.46565628,92.48960876
20/04/2021,15.67694759,166.4799957,67.87556458,101.4110031,110.4231873,327.2952271,387.1517334,56.45779037,91.44947815
21/04/2021,15.61398983,168.1300049,68.10179901,101.4641571,110.8025589,330.0971985,390.8150024,56.97464371,92.38011932
22/04/2021,15.73990726,167.0399933,67.97697449,101.5438461,110.9121628,326.117981,387.245575,56.77651596,91.79619598
23/04/2021,15.86582661,166.3999939,68.15641022,101.4110031,111.0049362,330.2236328,391.4443054,57.33644485,92.86370087
26/04/2021,15.97375965,166.8399963,68.12519836,101.3047409,110.9543381,332.3738098,392.2614136,57.50873184,93.1374054
27/04/2021,16.1086731,166.4199982,68.03157043,100.9062347,110.4569321,330.9338074,392.1769409,57.52595901,93.03705597
28/04/2021,16.13565636,166.9100037,68.16420746,101.0390396,110.4737701,329.8149719,392.06427,57.70685959,93.21041107
29/04/2021,16.24358559,166.2200012,68.24221039,100.8619537,110.338913,331.0019531,394.5628967,57.72409058,93.42024994
30/04/2021,16.1086731,165.6600037,68.21102905,100.9505157,110.5665131,328.8323975,391.9702759,56.86265945,92.43486023
03/05/2021,16.28855705,167.8099976,68.23764038,101.122406,110.8325882,327.0812378,392.8156738,57.59486389,92.86370087
04/05/2021,16.54039574,166.5800018,68.19847107,101.2553482,110.9001846,321.1950989,390.3923035,56.63007355,91.9604187
05/05/2021,16.60335541,167.2700043,68.33156586,101.3794098,111.0353165,320.1152344,390.5144348,57.44842529,92.3710022
06/05/2021,16.68430328,170.0599976,68.30805969,101.4236908,111.2465134,322.5279236,393.6329651,57.87913895,92.9822998
07/05/2021,16.84619713,171.5899963,68.3550415,101.4591675,111.2887497,325.1451111,396.4977417,58.75779724,93.85820007
10/05/2021,16.72927666,172.1100006,68.19847107,101.2553482,110.6889725,316.9337463,392.5714417,58.30983734,92.90930939
11/05/2021,16.9091568,172.1399994,68.12805939,101.0869751,110.2835464,316.4959717,389.0679321,57.63794327,92.09727478
12/05/2021,16.89117241,170.4299927,67.79930878,100.599556,109.6837769,308.3041687,380.802063,56.99187851,90.10826111
13/05/2021,16.42347145,171.1300049,68.04193115,100.9363251,110.097702,310.6877441,385.3764648,57.45703506,90.94766998
14/05/2021,16.55838394,172.6900024,68.26112366,101.1578522,110.6974564,317.5466309,391.2940369,58.51660156,92.41661835
17/05/2021,16.76525116,174.6999969,68.13587952,101.0604095,110.5707626,315.6203308,390.2984009,58.49075317,92.23412323
18/05/2021,16.68430328,175.0399933,67.97148132,101.0604095,110.2075424,313.4896545,386.9356689,58.54243851,92.06990814
19/05/2021,16.34252167,175.1600037,67.79148102,100.759079,110.0132446,313.8496399,385.9212341,57.90499878,91.58634186
20/05/2021,16.17163277,175.9600067,68.08109283,101.1755905,110.7650528,319.9205627,390.0728455,58.80086899,92.63559723
21/05/2021,16.32453346,176.0399933,68.18281555,101.2110596,110.8410568,318.1498718,389.7535706,58.83533096,92.50785828
24/05/2021,16.54938889,176.3500061,68.26112366,101.3085251,111.1451492,323.500824,393.7268982,59.21435547,93.24690247
25/05/2021,16.49542427,177.9499969,68.26895142,101.6807175,111.5590515,323.9483948,392.853241,59.24019623,93.26515198
26/05/2021,16.52240944,177.6399994,68.29242706,101.5655212,111.4999237,325.0769653,393.6329651,59.0679245,93.49324799
27/05/2021,16.78323936,177.7100067,68.26112366,101.3882828,111.1620255,323.8608093,393.8395386,59.24879837,93.63010406
28/05/2021,16.72927666,178.3800049,68.23764038,101.3794098,111.2549744,324.8824158,394.5440674,59.39525223,93.89470673
01/06/2021,17.0260849,177.8999939,68.44258881,101.3607941,111.2693329,323.8024292,394.1964417,59.85180283,94.25054169
02/06/2021,17.11602783,178.7700043,68.52898407,101.476059,111.4470291,324.4347839,394.8163757,59.93794632,94.38739777
03/06/2021,16.97211838,175.2700043,68.38762665,101.2189026,111.0069733,321.0588379,393.3511047,59.51583099,93.86733246
04/06/2021,17.16099739,177.1600037,68.53683472,101.7775803,111.7940674,326.5070801,396.9486084,60.00686646,94.76148224
07/06/2021,17.18798065,177.8699951,68.56040192,101.6977844,111.7009964,327.4799805,396.5635376,60.28251266,94.8253479
08/06/2021,17.35886955,177.3200073,68.60752106,101.9904175,112.1241455,327.6357727,396.6480408,60.27391434,94.79797363
09/06/2021,17.27792168,176.9799957,68.66246796,102.3096466,112.5303802,327.713562,396.0562439,60.17053986,94.55162811
10/06/2021,17.34088326,177.7400055,68.78813934,102.6732559,113.0381775,331.128418,397.8973389,60.24806976,95.01694489
11/06/2021,17.28691673,175.7400055,68.81172943,102.5224991,113.1312561,331.9942627,398.5549011,60.44618988,95.19029999
14/06/2021,17.18798065,174.7100067,68.74887085,102.2032623,112.716629,335.1757507,399.4472046,60.60123825,95.35453033
15/06/2021,17.11602783,174.0500031,68.74103546,102.2209473,112.8012466,332.9866638,398.714447,60.60985947,95.16293335
16/06/2021,17.01709175,171.1100006,68.64678192,101.5204239,112.4796066,331.7705383,396.4883118,60.01548386,94.54249573
17/06/2021,16.57637215,165.8500061,68.69391632,101.8839874,113.1059265,335.9832153,396.3569031,59.46416473,94.29615021
18/06/2021,16.74726295,164.9299927,68.66246796,102.4604034,113.6983566,333.3466492,391.0099182,58.30123901,92.90019226
21/06/2021,16.95413208,166.9499969,68.79599762,102.1322784,113.0381775,335.4184265,396.6075439,59.17219162,94.17931366
22/06/2021,16.98111343,166.25,68.84313965,102.3185349,113.2244034,338.5450745,398.7278442,59.18960571,94.41773987
23/06/2021,17.08904457,166.1399994,68.77243805,102.1145782,113.0466843,338.7106323,398.2472534,58.82381439,94.28019714
24/06/2021,17.15200424,166.0399933,68.98447418,102.096817,113.2667236,340.8048401,400.6031799,59.38993454,94.96788788
25/06/2021,17.08005142,166.5899963,69.05514526,101.8839874,112.9705276,340.3859558,402.0262146,59.51184082,95.34384918
28/06/2021,17.07105255,166.5800018,69.04730988,102.2032623,113.4529266,344.5256348,402.8366089,59.05024719,95.24298096
29/06/2021,17.15200424,164.8300018,69.13370514,102.2564545,113.5883102,345.7723389,403.0534363,59.08509445,95.26132202
30/06/2021,17.31389999,165.6300049,69.14157104,102.4160767,113.7152786,345.2269592,403.3925781,58.57996368,95.00456238
01/07/2021,17.37685966,166.1999969,69.27708435,102.3424225,113.6160812,345.3633423,405.6260376,58.9283371,95.35302734
